n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
50,2.634054562558796,47.13286713286713,715,1063,ETS,qwen,maryland,P8,1457248422,1,[3]
200,3.762935089369708,54.40559440559441,715,1063,ETS,qwen,maryland,P8,1457248422,1,[3]
30,2.351834430856068,45.36652835408022,723,1063,ETS,qwen,maryland,P8,642571064,1,[3]
50,2.351834430856068,45.36652835408022,723,1063,ETS,qwen,maryland,P8,642571064,1,[3]
200,5.9266227657572905,58.64453665283541,723,1063,ETS,qwen,maryland,P8,642571064,1,[3]
30,0.0,9.517241379310343,725,1063,ETS,qwen,maryland,P8,3609844797,1,[3]
50,0.5644402634054563,28.551724137931032,725,1063,ETS,qwen,maryland,P8,3609844797,1,[3]
200,5.362182502351835,60.827586206896555,725,1063,ETS,qwen,maryland,P8,3609844797,1,[3]
30,1.881467544684854,43.90934844192634,706,1063,ETS,qwen,maryland,P8,1067841243,1,[3]
50,0.658513640639699,27.620396600566572,706,1063,ETS,qwen,maryland,P8,1067841243,1,[3]
200,2.351834430856068,50.991501416430594,706,1063,ETS,qwen,maryland,P8,1067841243,1,[3]
30,1.7578125,53.55850422195416,829,1024,ETS,qwen,maryland,P1,959183449,1,[4]
50,4.00390625,67.55126658624849,829,1024,ETS,qwen,maryland,P1,959183449,1,[4]
200,7.71484375,75.8745476477684,829,1024,ETS,qwen,maryland,P1,959183449,1,[4]
30,2.734375,61.44721233689205,843,1024,ETS,qwen,maryland,P1,1457248422,1,[4]
50,2.734375,61.44721233689205,843,1024,ETS,qwen,maryland,P1,1457248422,1,[4]
200,7.03125,74.4958481613286,843,1024,ETS,qwen,maryland,P1,1457248422,1,[4]
30,4.4921875,69.95133819951337,822,1024,ETS,qwen,maryland,P1,642571064,1,[4]
50,4.4921875,69.95133819951337,822,1024,ETS,qwen,maryland,P1,642571064,1,[4]
200,4.4921875,69.95133819951337,822,1024,ETS,qwen,maryland,P1,642571064,1,[4]
30,10.3515625,79.95226730310262,838,1024,ETS,qwen,maryland,P1,3609844797,1,[4]
50,11.9140625,82.81622911694511,838,1024,ETS,qwen,maryland,P1,3609844797,1,[4]
200,7.2265625,74.58233890214797,838,1024,ETS,qwen,maryland,P1,3609844797,1,[4]
30,1.85546875,58.698224852071,845,1024,ETS,qwen,maryland,P1,1067841243,1,[4]
50,2.44140625,62.9585798816568,845,1024,ETS,qwen,maryland,P1,1067841243,1,[4]
200,2.44140625,62.60355029585799,845,1024,ETS,qwen,maryland,P1,1067841243,1,[4]
30,4.054054054054054,65.76227390180878,774,962,ETS,qwen,maryland,P2,959183449,1,[4]
50,1.5592515592515594,51.55038759689923,774,962,ETS,qwen,maryland,P2,959183449,1,[4]
200,4.781704781704782,69.37984496124031,774,962,ETS,qwen,maryland,P2,959183449,1,[4]
30,2.2869022869022873,58.17941952506597,758,962,ETS,qwen,maryland,P2,1457248422,1,[4]
50,2.2869022869022873,58.17941952506597,758,962,ETS,qwen,maryland,P2,1457248422,1,[4]
200,2.494802494802495,62.796833773087066,758,962,ETS,qwen,maryland,P2,1457248422,1,[4]
30,0.2079002079002079,26.988265971316817,767,962,ETS,qwen,maryland,P2,642571064,1,[4]
50,2.494802494802495,60.495436766623214,767,962,ETS,qwen,maryland,P2,642571064,1,[4]
200,4.677754677754678,68.83963494132985,767,962,ETS,qwen,maryland,P2,642571064,1,[4]
30,1.2474012474012475,44.83660130718955,765,962,ETS,qwen,maryland,P2,3609844797,1,[4]
50,2.2869022869022873,56.470588235294116,765,962,ETS,qwen,maryland,P2,3609844797,1,[4]
200,5.093555093555094,69.41176470588235,765,962,ETS,qwen,maryland,P2,3609844797,1,[4]
