n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,prompt,seed,base,alternatives
200,7.317073170731707,77.57009345794393,321,492,ETS,qwen,openai,P6,3609844797,1,[3]
30,1.6260162601626018,58.103975535168196,327,492,ETS,qwen,openai,P6,1067841243,1,[3]
50,8.536585365853659,80.1223241590214,327,492,ETS,qwen,openai,P6,1067841243,1,[3]
200,9.75609756097561,81.9571865443425,327,492,ETS,qwen,openai,P6,1067841243,1,[3]
30,2.509293680297398,59.944367176634216,719,1076,ETS,qwen,openai,P7,959183449,1,[3]
50,4.089219330855019,66.75938803894297,719,1076,ETS,qwen,openai,P7,959183449,1,[3]
200,4.646840148698884,70.37552155771905,719,1076,ETS,qwen,openai,P7,959183449,1,[3]
30,8.921933085501859,82.7247191011236,712,1076,ETS,qwen,openai,P7,1457248422,1,[3]
50,6.04089219330855,75.28089887640449,712,1076,ETS,qwen,openai,P7,1457248422,1,[3]
200,8.085501858736059,81.17977528089888,712,1076,ETS,qwen,openai,P7,1457248422,1,[3]
30,2.2304832713754648,60.02805049088359,713,1076,ETS,qwen,openai,P7,642571064,1,[3]
50,1.1152416356877324,48.94810659186536,713,1076,ETS,qwen,openai,P7,642571064,1,[3]
200,4.553903345724907,70.12622720897616,713,1076,ETS,qwen,openai,P7,642571064,1,[3]
30,17.100371747211895,90.30898876404494,712,1076,ETS,qwen,openai,P7,3609844797,1,[3]
50,0.929368029739777,49.29775280898877,712,1076,ETS,qwen,openai,P7,3609844797,1,[3]
200,3.717472118959108,66.99438202247191,712,1076,ETS,qwen,openai,P7,3609844797,1,[3]
30,2.2304832713754648,59.86013986013986,715,1076,ETS,qwen,openai,P7,1067841243,1,[3]
50,8.45724907063197,81.95804195804196,715,1076,ETS,qwen,openai,P7,1067841243,1,[3]
200,6.412639405204461,77.62237762237763,715,1076,ETS,qwen,openai,P7,1067841243,1,[3]
30,1.03480714957667,47.147147147147145,666,1063,ETS,qwen,openai,P8,959183449,1,[3]
50,2.634054562558796,67.86786786786787,666,1063,ETS,qwen,openai,P8,959183449,1,[3]
200,3.762935089369708,72.22222222222221,666,1063,ETS,qwen,openai,P8,959183449,1,[3]
30,4.421448730009407,71.70370370370371,675,1063,ETS,qwen,openai,P8,1457248422,1,[3]
50,0.5644402634054563,43.7037037037037,675,1063,ETS,qwen,openai,P8,1457248422,1,[3]
200,6.302916274694262,78.66666666666666,675,1063,ETS,qwen,openai,P8,1457248422,1,[3]
30,5.268109125117592,73.06547619047619,672,1063,ETS,qwen,openai,P8,642571064,1,[3]
50,5.9266227657572905,76.93452380952381,672,1063,ETS,qwen,openai,P8,642571064,1,[3]
200,5.268109125117592,73.66071428571429,672,1063,ETS,qwen,openai,P8,642571064,1,[3]
30,2.06961429915334,65.26946107784431,668,1063,ETS,qwen,openai,P8,3609844797,1,[3]
50,2.06961429915334,65.26946107784431,668,1063,ETS,qwen,openai,P8,3609844797,1,[3]
200,2.539981185324553,66.76646706586826,668,1063,ETS,qwen,openai,P8,3609844797,1,[3]
30,5.456255879586077,74.55357142857143,672,1063,ETS,qwen,openai,P8,1067841243,1,[3]
50,5.456255879586077,74.55357142857143,672,1063,ETS,qwen,openai,P8,1067841243,1,[3]
200,6.3969896519285045,78.86904761904762,672,1063,ETS,qwen,openai,P8,1067841243,1,[3]
30,1.85546875,75.0,816,1024,ETS,qwen,openai,P1,959183449,1,[4]
50,2.05078125,76.10294117647058,816,1024,ETS,qwen,openai,P1,959183449,1,[4]
200,6.640625,89.70588235294117,816,1024,ETS,qwen,openai,P1,959183449,1,[4]
30,12.20703125,93.68029739776952,807,1024,ETS,qwen,openai,P1,1457248422,1,[4]
50,6.0546875,88.47583643122677,807,1024,ETS,qwen,openai,P1,1457248422,1,[4]
200,6.15234375,88.84758364312268,807,1024,ETS,qwen,openai,P1,1457248422,1,[4]
30,4.00390625,84.00984009840099,813,1024,ETS,qwen,openai,P1,642571064,1,[4]
50,8.0078125,91.02091020910208,813,1024,ETS,qwen,openai,P1,642571064,1,[4]
200,4.00390625,84.00984009840099,813,1024,ETS,qwen,openai,P1,642571064,1,[4]
30,0.09765625,50.30978934324659,807,1024,ETS,qwen,openai,P1,3609844797,1,[4]
50,0.68359375,67.41016109045849,807,1024,ETS,qwen,openai,P1,3609844797,1,[4]
200,6.640625,89.71499380421314,807,1024,ETS,qwen,openai,P1,3609844797,1,[4]
30,0.0,28.695652173913043,805,1024,ETS,qwen,openai,P1,1067841243,1,[4]
50,1.7578125,74.6583850931677,805,1024,ETS,qwen,openai,P1,1067841243,1,[4]
200,1.953125,76.14906832298136,805,1024,ETS,qwen,openai,P1,1067841243,1,[4]
30,7.588357588357589,92.68635724331928,711,962,ETS,qwen,openai,P2,959183449,1,[4]
