n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,1.6216216216216217,0.0,26,185,LOCNESS,phi,maryland,1067841243,6,[5]
50,4.324324324324325,0.0,26,185,LOCNESS,phi,maryland,1067841243,6,[5]
200,5.405405405405405,3.8461538461538463,26,185,LOCNESS,phi,maryland,1067841243,6,[5]
30,7.027027027027027,76.875,160,185,LOCNESS,phi,maryland,959183449,6,[7]
50,8.64864864864865,87.5,160,185,LOCNESS,phi,maryland,959183449,6,[7]
200,6.486486486486487,75.0,160,185,LOCNESS,phi,maryland,959183449,6,[7]
30,11.351351351351353,90.41095890410958,146,185,LOCNESS,phi,maryland,1457248422,6,[7]
50,10.81081081081081,89.04109589041096,146,185,LOCNESS,phi,maryland,1457248422,6,[7]
200,6.486486486486487,73.97260273972603,146,185,LOCNESS,phi,maryland,1457248422,6,[7]
30,1.6216216216216217,51.94805194805194,154,185,LOCNESS,phi,maryland,642571064,6,[7]
50,1.6216216216216217,58.44155844155844,154,185,LOCNESS,phi,maryland,642571064,6,[7]
200,3.2432432432432434,68.18181818181817,154,185,LOCNESS,phi,maryland,642571064,6,[7]
30,3.2432432432432434,65.08875739644971,169,185,LOCNESS,phi,maryland,3609844797,6,[7]
50,4.864864864864865,72.18934911242604,169,185,LOCNESS,phi,maryland,3609844797,6,[7]
200,3.2432432432432434,65.08875739644971,169,185,LOCNESS,phi,maryland,3609844797,6,[7]
30,1.6216216216216217,49.044585987261144,157,185,LOCNESS,phi,maryland,1067841243,6,[7]
50,4.324324324324325,63.69426751592356,157,185,LOCNESS,phi,maryland,1067841243,6,[7]
200,5.405405405405405,73.24840764331209,157,185,LOCNESS,phi,maryland,1067841243,6,[7]
