n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
30,Combined Weighted (mean),4.885654885654886,46.15384615384615,ETS,qwen,openai,P2,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P3,642571064,1,[2]
5,Combined Unweighted,11.877394636015326,62.857142857142854,ETS,qwen,openai,P3,642571064,1,[2]
5,Combined Weighted (quantile),11.877394636015326,62.857142857142854,ETS,qwen,openai,P3,642571064,1,[2]
5,Combined Weighted (mean),11.877394636015326,62.857142857142854,ETS,qwen,openai,P3,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P3,642571064,1,[2]
15,Combined Unweighted,12.132822477650064,62.857142857142854,ETS,qwen,openai,P3,642571064,1,[2]
15,Combined Weighted (quantile),12.132822477650064,62.857142857142854,ETS,qwen,openai,P3,642571064,1,[2]
15,Combined Weighted (mean),12.132822477650064,62.857142857142854,ETS,qwen,openai,P3,642571064,1,[2]
30,In Distribution Only,1.9157088122605364,26.666666666666668,ETS,qwen,openai,P3,642571064,1,[2]
30,Combined Unweighted,11.877394636015326,62.857142857142854,ETS,qwen,openai,P3,642571064,1,[2]
30,Combined Weighted (quantile),11.877394636015326,62.857142857142854,ETS,qwen,openai,P3,642571064,1,[2]
30,Combined Weighted (mean),8.812260536398467,56.19047619047619,ETS,qwen,openai,P3,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P4,642571064,1,[2]
5,Combined Unweighted,9.131905298759865,58.98876404494382,ETS,qwen,openai,P4,642571064,1,[2]
5,Combined Weighted (quantile),4.1713641488162345,45.50561797752809,ETS,qwen,openai,P4,642571064,1,[2]
5,Combined Weighted (mean),9.131905298759865,58.98876404494382,ETS,qwen,openai,P4,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P4,642571064,1,[2]
15,Combined Unweighted,9.244644870349491,58.98876404494382,ETS,qwen,openai,P4,642571064,1,[2]
15,Combined Weighted (quantile),9.244644870349491,58.98876404494382,ETS,qwen,openai,P4,642571064,1,[2]
15,Combined Weighted (mean),9.244644870349491,58.98876404494382,ETS,qwen,openai,P4,642571064,1,[2]
30,In Distribution Only,0.9019165727170236,26.96629213483146,ETS,qwen,openai,P4,642571064,1,[2]
30,Combined Unweighted,9.131905298759865,58.98876404494382,ETS,qwen,openai,P4,642571064,1,[2]
30,Combined Weighted (quantile),9.131905298759865,58.98876404494382,ETS,qwen,openai,P4,642571064,1,[2]
30,Combined Weighted (mean),5.636978579481398,48.31460674157304,ETS,qwen,openai,P4,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P5,642571064,1,[2]
5,Combined Unweighted,11.835506519558676,60.46511627906976,ETS,qwen,openai,P5,642571064,1,[2]
5,Combined Weighted (quantile),0.2006018054162487,11.16279069767442,ETS,qwen,openai,P5,642571064,1,[2]
5,Combined Weighted (mean),4.914744232698094,45.11627906976744,ETS,qwen,openai,P5,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P5,642571064,1,[2]
15,Combined Unweighted,11.835506519558676,60.46511627906976,ETS,qwen,openai,P5,642571064,1,[2]
15,Combined Weighted (quantile),6.41925777331996,50.23255813953489,ETS,qwen,openai,P5,642571064,1,[2]
15,Combined Weighted (mean),5.416248746238716,45.58139534883721,ETS,qwen,openai,P5,642571064,1,[2]
30,In Distribution Only,2.6078234704112337,28.837209302325583,ETS,qwen,openai,P5,642571064,1,[2]
30,Combined Unweighted,10.631895687061183,57.20930232558139,ETS,qwen,openai,P5,642571064,1,[2]
30,Combined Weighted (quantile),4.714142427281845,44.65116279069768,ETS,qwen,openai,P5,642571064,1,[2]
30,Combined Weighted (mean),4.212637913741224,38.604651162790695,ETS,qwen,openai,P5,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P6,642571064,1,[2]
5,Combined Unweighted,9.75609756097561,54.90196078431373,ETS,qwen,openai,P6,642571064,1,[2]
5,Combined Weighted (quantile),0.6097560975609756,14.705882352941178,ETS,qwen,openai,P6,642571064,1,[2]
5,Combined Weighted (mean),2.032520325203252,26.47058823529412,ETS,qwen,openai,P6,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P6,642571064,1,[2]
15,Combined Unweighted,10.772357723577237,57.84313725490197,ETS,qwen,openai,P6,642571064,1,[2]
15,Combined Weighted (quantile),4.67479674796748,37.25490196078432,ETS,qwen,openai,P6,642571064,1,[2]
15,Combined Weighted (mean),4.471544715447155,36.27450980392157,ETS,qwen,openai,P6,642571064,1,[2]
30,In Distribution Only,1.6260162601626018,25.49019607843137,ETS,qwen,openai,P6,642571064,1,[2]
30,Combined Unweighted,9.552845528455284,54.90196078431373,ETS,qwen,openai,P6,642571064,1,[2]
30,Combined Weighted (quantile),4.0650406504065035,35.294117647058826,ETS,qwen,openai,P6,642571064,1,[2]
30,Combined Weighted (mean),4.471544715447155,36.27450980392157,ETS,qwen,openai,P6,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,openai,P7,642571064,1,[2]
5,Combined Unweighted,12.639405204460964,64.72868217054264,ETS,qwen,openai,P7,642571064,1,[2]
5,Combined Weighted (quantile),2.41635687732342,27.906976744186046,ETS,qwen,openai,P7,642571064,1,[2]
5,Combined Weighted (mean),9.479553903345725,59.68992248062015,ETS,qwen,openai,P7,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,openai,P7,642571064,1,[2]
15,Combined Unweighted,12.639405204460964,64.72868217054264,ETS,qwen,openai,P7,642571064,1,[2]
15,Combined Weighted (quantile),0.5576208178438662,14.728682170542635,ETS,qwen,openai,P7,642571064,1,[2]
15,Combined Weighted (mean),0.5576208178438662,13.565891472868216,ETS,qwen,openai,P7,642571064,1,[2]
30,In Distribution Only,0.0929368029739776,8.13953488372093,ETS,qwen,openai,P7,642571064,1,[2]
