n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
200,8.64864864864865,95.65217391304348,23,185,LOCNESS,phi,openai,1067841243,4,[6]
30,1.0810810810810811,60.67415730337079,178,185,LOCNESS,phi,openai,959183449,4,[7]
50,1.0810810810810811,60.67415730337079,178,185,LOCNESS,phi,openai,959183449,4,[7]
200,8.64864864864865,100.0,178,185,LOCNESS,phi,openai,959183449,4,[7]
30,0.0,6.0109289617486334,183,185,LOCNESS,phi,openai,1457248422,4,[7]
50,1.6216216216216217,82.5136612021858,183,185,LOCNESS,phi,openai,1457248422,4,[7]
200,4.864864864864865,98.36065573770492,183,185,LOCNESS,phi,openai,1457248422,4,[7]
30,0.0,3.783783783783784,185,185,LOCNESS,phi,openai,642571064,4,[7]
50,0.0,46.48648648648649,185,185,LOCNESS,phi,openai,642571064,4,[7]
200,3.2432432432432434,99.45945945945947,185,185,LOCNESS,phi,openai,642571064,4,[7]
30,0.0,7.065217391304348,184,185,LOCNESS,phi,openai,3609844797,4,[7]
50,4.324324324324325,97.82608695652173,184,185,LOCNESS,phi,openai,3609844797,4,[7]
200,2.1621621621621623,97.82608695652173,184,185,LOCNESS,phi,openai,3609844797,4,[7]
30,0.5405405405405406,59.01639344262295,183,185,LOCNESS,phi,openai,1067841243,4,[7]
50,0.5405405405405406,62.841530054644814,183,185,LOCNESS,phi,openai,1067841243,4,[7]
200,8.64864864864865,98.90710382513662,183,185,LOCNESS,phi,openai,1067841243,4,[7]
30,1.0810810810810811,80.48780487804879,123,185,LOCNESS,phi,openai,959183449,5,[7]
50,3.783783783783784,94.3089430894309,123,185,LOCNESS,phi,openai,959183449,5,[7]
200,3.783783783783784,94.3089430894309,123,185,LOCNESS,phi,openai,959183449,5,[7]
30,4.324324324324325,92.43697478991596,119,185,LOCNESS,phi,openai,1457248422,5,[7]
50,4.324324324324325,92.43697478991596,119,185,LOCNESS,phi,openai,1457248422,5,[7]
200,2.7027027027027026,89.07563025210085,119,185,LOCNESS,phi,openai,1457248422,5,[7]
30,1.0810810810810811,87.96992481203007,133,185,LOCNESS,phi,openai,642571064,5,[7]
50,1.0810810810810811,87.96992481203007,133,185,LOCNESS,phi,openai,642571064,5,[7]
200,3.783783783783784,96.99248120300751,133,185,LOCNESS,phi,openai,642571064,5,[7]
30,2.7027027027027026,92.5925925925926,135,185,LOCNESS,phi,openai,3609844797,5,[7]
50,2.7027027027027026,93.33333333333333,135,185,LOCNESS,phi,openai,3609844797,5,[7]
200,2.7027027027027026,93.33333333333333,135,185,LOCNESS,phi,openai,3609844797,5,[7]
30,2.1621621621621623,83.45323741007195,139,185,LOCNESS,phi,openai,1067841243,5,[7]
50,2.1621621621621623,83.45323741007195,139,185,LOCNESS,phi,openai,1067841243,5,[7]
200,6.486486486486487,92.80575539568345,139,185,LOCNESS,phi,openai,1067841243,5,[7]
30,0.0,0.0,19,185,LOCNESS,phi,openai,959183449,6,[5]
50,4.864864864864865,26.31578947368421,19,185,LOCNESS,phi,openai,959183449,6,[5]
200,8.64864864864865,26.31578947368421,19,185,LOCNESS,phi,openai,959183449,6,[5]
30,2.1621621621621623,11.11111111111111,18,185,LOCNESS,phi,openai,642571064,6,[5]
50,2.1621621621621623,11.11111111111111,18,185,LOCNESS,phi,openai,642571064,6,[5]
200,3.2432432432432434,16.666666666666664,18,185,LOCNESS,phi,openai,642571064,6,[5]
30,6.486486486486487,22.22222222222222,18,185,LOCNESS,phi,openai,3609844797,6,[5]
50,3.2432432432432434,11.11111111111111,18,185,LOCNESS,phi,openai,3609844797,6,[5]
200,3.783783783783784,11.11111111111111,18,185,LOCNESS,phi,openai,3609844797,6,[5]
30,5.9459459459459465,29.411764705882355,17,185,LOCNESS,phi,openai,1067841243,6,[5]
50,5.9459459459459465,29.411764705882355,17,185,LOCNESS,phi,openai,1067841243,6,[5]
200,5.9459459459459465,29.411764705882355,17,185,LOCNESS,phi,openai,1067841243,6,[5]
30,0.0,48.66666666666667,150,185,LOCNESS,phi,openai,959183449,6,[7]
50,4.864864864864865,92.0,150,185,LOCNESS,phi,openai,959183449,6,[7]
200,8.64864864864865,94.0,150,185,LOCNESS,phi,openai,959183449,6,[7]
30,2.7027027027027026,84.78260869565217,138,185,LOCNESS,phi,openai,1457248422,6,[7]
50,1.6216216216216217,82.6086956521739,138,185,LOCNESS,phi,openai,1457248422,6,[7]
200,4.864864864864865,89.85507246376811,138,185,LOCNESS,phi,openai,1457248422,6,[7]
30,2.1621621621621623,88.27160493827161,162,185,LOCNESS,phi,openai,642571064,6,[7]
50,2.1621621621621623,88.27160493827161,162,185,LOCNESS,phi,openai,642571064,6,[7]
200,3.2432432432432434,93.20987654320987,162,185,LOCNESS,phi,openai,642571064,6,[7]
30,6.486486486486487,94.61077844311377,167,185,LOCNESS,phi,openai,3609844797,6,[7]
50,3.2432432432432434,90.41916167664671,167,185,LOCNESS,phi,openai,3609844797,6,[7]
200,3.783783783783784,91.01796407185628,167,185,LOCNESS,phi,openai,3609844797,6,[7]
30,5.9459459459459465,87.42514970059881,167,185,LOCNESS,phi,openai,1067841243,6,[7]
50,5.9459459459459465,87.42514970059881,167,185,LOCNESS,phi,openai,1067841243,6,[7]
200,5.9459459459459465,89.22155688622755,167,185,LOCNESS,phi,openai,1067841243,6,[7]
