n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
15,Combined Weighted (quantile),6.257982120051085,58.43373493975904,ETS,phi,openai,P3,642571064,1,[2]
15,Combined Weighted (mean),4.980842911877394,55.42168674698795,ETS,phi,openai,P3,642571064,1,[2]
30,In Distribution Only,2.1711366538952745,44.57831325301205,ETS,phi,openai,P3,642571064,1,[2]
30,Combined Unweighted,14.942528735632186,76.50602409638554,ETS,phi,openai,P3,642571064,1,[2]
30,Combined Weighted (quantile),4.980842911877394,55.42168674698795,ETS,phi,openai,P3,642571064,1,[2]
30,Combined Weighted (mean),6.130268199233716,57.831325301204814,ETS,phi,openai,P3,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P4,642571064,1,[2]
5,Combined Unweighted,10.146561443066515,70.10309278350515,ETS,phi,openai,P4,642571064,1,[2]
5,Combined Weighted (quantile),4.284103720405862,51.03092783505154,ETS,phi,openai,P4,642571064,1,[2]
5,Combined Weighted (mean),7.891770011273957,65.97938144329896,ETS,phi,openai,P4,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P4,642571064,1,[2]
15,Combined Unweighted,10.146561443066515,70.10309278350515,ETS,phi,openai,P4,642571064,1,[2]
15,Combined Weighted (quantile),9.470124013528748,68.55670103092784,ETS,phi,openai,P4,642571064,1,[2]
15,Combined Weighted (mean),10.146561443066515,70.10309278350515,ETS,phi,openai,P4,642571064,1,[2]
30,In Distribution Only,1.2401352874859075,37.11340206185567,ETS,phi,openai,P4,642571064,1,[2]
30,Combined Unweighted,9.92108229988726,70.10309278350515,ETS,phi,openai,P4,642571064,1,[2]
30,Combined Weighted (quantile),9.35738444193912,68.04123711340206,ETS,phi,openai,P4,642571064,1,[2]
30,Combined Weighted (mean),5.862457722660654,57.73195876288659,ETS,phi,openai,P4,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P5,642571064,1,[2]
5,Combined Unweighted,10.330992978936813,63.059701492537314,ETS,phi,openai,P5,642571064,1,[2]
5,Combined Weighted (quantile),4.112337011033099,50.373134328358205,ETS,phi,openai,P5,642571064,1,[2]
5,Combined Weighted (mean),9.62888665997994,61.56716417910447,ETS,phi,openai,P5,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P5,642571064,1,[2]
15,Combined Unweighted,10.330992978936813,63.059701492537314,ETS,phi,openai,P5,642571064,1,[2]
15,Combined Weighted (quantile),10.330992978936813,63.059701492537314,ETS,phi,openai,P5,642571064,1,[2]
15,Combined Weighted (mean),8.525576730190572,59.32835820895522,ETS,phi,openai,P5,642571064,1,[2]
30,In Distribution Only,0.2006018054162487,9.328358208955224,ETS,phi,openai,P5,642571064,1,[2]
30,Combined Unweighted,8.124373119358076,58.95522388059702,ETS,phi,openai,P5,642571064,1,[2]
30,Combined Weighted (quantile),1.8054162487462388,28.35820895522388,ETS,phi,openai,P5,642571064,1,[2]
30,Combined Weighted (mean),1.60481444332999,26.119402985074625,ETS,phi,openai,P5,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P6,642571064,1,[2]
5,Combined Unweighted,11.38211382113821,68.86792452830188,ETS,phi,openai,P6,642571064,1,[2]
5,Combined Weighted (quantile),11.38211382113821,68.86792452830188,ETS,phi,openai,P6,642571064,1,[2]
5,Combined Weighted (mean),11.38211382113821,68.86792452830188,ETS,phi,openai,P6,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,openai,P6,642571064,1,[2]
15,Combined Unweighted,11.178861788617883,68.86792452830188,ETS,phi,openai,P6,642571064,1,[2]
15,Combined Weighted (quantile),2.642276422764228,43.39622641509434,ETS,phi,openai,P6,642571064,1,[2]
15,Combined Weighted (mean),2.642276422764228,43.39622641509434,ETS,phi,openai,P6,642571064,1,[2]
30,In Distribution Only,0.6097560975609756,36.79245283018868,ETS,phi,openai,P6,642571064,1,[2]
30,Combined Unweighted,10.569105691056912,66.98113207547169,ETS,phi,openai,P6,642571064,1,[2]
30,Combined Weighted (quantile),2.642276422764228,43.39622641509434,ETS,phi,openai,P6,642571064,1,[2]
30,Combined Weighted (mean),3.658536585365854,45.28301886792453,ETS,phi,openai,P6,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,openai,P7,642571064,1,[2]
