n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
5,Combined Weighted (quantile),5.390334572490707,33.06122448979592,ETS,qwen,maryland,P7,1457248422,1,[2]
5,Combined Weighted (mean),7.62081784386617,39.18367346938776,ETS,qwen,maryland,P7,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P7,1457248422,1,[2]
15,Combined Unweighted,8.921933085501859,41.63265306122449,ETS,qwen,maryland,P7,1457248422,1,[2]
15,Combined Weighted (quantile),8.921933085501859,41.63265306122449,ETS,qwen,maryland,P7,1457248422,1,[2]
15,Combined Weighted (mean),9.758364312267656,43.673469387755105,ETS,qwen,maryland,P7,1457248422,1,[2]
30,In Distribution Only,0.0929368029739776,2.857142857142857,ETS,qwen,maryland,P7,1457248422,1,[2]
30,Combined Unweighted,8.271375464684015,41.224489795918366,ETS,qwen,maryland,P7,1457248422,1,[2]
30,Combined Weighted (quantile),5.390334572490707,29.38775510204082,ETS,qwen,maryland,P7,1457248422,1,[2]
30,Combined Weighted (mean),3.5315985130111525,26.53061224489796,ETS,qwen,maryland,P7,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P8,1457248422,1,[2]
5,Combined Unweighted,7.61994355597366,36.94581280788177,ETS,qwen,maryland,P8,1457248422,1,[2]
5,Combined Weighted (quantile),7.61994355597366,36.94581280788177,ETS,qwen,maryland,P8,1457248422,1,[2]
5,Combined Weighted (mean),7.61994355597366,36.94581280788177,ETS,qwen,maryland,P8,1457248422,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P8,1457248422,1,[2]
15,Combined Unweighted,7.61994355597366,36.94581280788177,ETS,qwen,maryland,P8,1457248422,1,[2]
15,Combined Weighted (quantile),7.61994355597366,36.94581280788177,ETS,qwen,maryland,P8,1457248422,1,[2]
15,Combined Weighted (mean),7.61994355597366,36.94581280788177,ETS,qwen,maryland,P8,1457248422,1,[2]
30,In Distribution Only,2.539981185324553,23.645320197044335,ETS,qwen,maryland,P8,1457248422,1,[2]
30,Combined Unweighted,7.055503292568203,36.45320197044335,ETS,qwen,maryland,P8,1457248422,1,[2]
30,Combined Weighted (quantile),5.832549388523048,34.48275862068966,ETS,qwen,maryland,P8,1457248422,1,[2]
30,Combined Weighted (mean),5.550329256820319,34.48275862068966,ETS,qwen,maryland,P8,1457248422,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P1,642571064,1,[2]
5,Combined Unweighted,7.8125,42.19409282700422,ETS,qwen,maryland,P1,642571064,1,[2]
5,Combined Weighted (quantile),2.63671875,28.691983122362867,ETS,qwen,maryland,P1,642571064,1,[2]
5,Combined Weighted (mean),6.34765625,40.08438818565401,ETS,qwen,maryland,P1,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P1,642571064,1,[2]
15,Combined Unweighted,8.30078125,44.303797468354425,ETS,qwen,maryland,P1,642571064,1,[2]
15,Combined Weighted (quantile),8.30078125,44.303797468354425,ETS,qwen,maryland,P1,642571064,1,[2]
15,Combined Weighted (mean),7.6171875,42.19409282700422,ETS,qwen,maryland,P1,642571064,1,[2]
30,In Distribution Only,6.34765625,40.08438818565401,ETS,qwen,maryland,P1,642571064,1,[2]
30,Combined Unweighted,8.30078125,44.303797468354425,ETS,qwen,maryland,P1,642571064,1,[2]
30,Combined Weighted (quantile),8.30078125,44.303797468354425,ETS,qwen,maryland,P1,642571064,1,[2]
30,Combined Weighted (mean),7.6171875,42.19409282700422,ETS,qwen,maryland,P1,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P2,642571064,1,[2]
5,Combined Unweighted,7.6923076923076925,44.642857142857146,ETS,qwen,maryland,P2,642571064,1,[2]
5,Combined Weighted (quantile),2.182952182952183,25.44642857142857,ETS,qwen,maryland,P2,642571064,1,[2]
5,Combined Weighted (mean),4.5738045738045745,36.160714285714285,ETS,qwen,maryland,P2,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P2,642571064,1,[2]
15,Combined Unweighted,7.6923076923076925,44.642857142857146,ETS,qwen,maryland,P2,642571064,1,[2]
15,Combined Weighted (quantile),0.3118503118503118,5.357142857142857,ETS,qwen,maryland,P2,642571064,1,[2]
15,Combined Weighted (mean),0.4158004158004158,6.25,ETS,qwen,maryland,P2,642571064,1,[2]
30,In Distribution Only,0.0,2.6785714285714284,ETS,qwen,maryland,P2,642571064,1,[2]
30,Combined Unweighted,7.6923076923076925,44.642857142857146,ETS,qwen,maryland,P2,642571064,1,[2]
30,Combined Weighted (quantile),3.2224532224532227,24.107142857142858,ETS,qwen,maryland,P2,642571064,1,[2]
30,Combined Weighted (mean),2.390852390852391,20.982142857142858,ETS,qwen,maryland,P2,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P3,642571064,1,[2]
5,Combined Unweighted,7.2796934865900385,48.35164835164835,ETS,qwen,maryland,P3,642571064,1,[2]
5,Combined Weighted (quantile),7.2796934865900385,48.35164835164835,ETS,qwen,maryland,P3,642571064,1,[2]
5,Combined Weighted (mean),7.151979565772669,47.25274725274725,ETS,qwen,maryland,P3,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P3,642571064,1,[2]
15,Combined Unweighted,7.2796934865900385,48.35164835164835,ETS,qwen,maryland,P3,642571064,1,[2]
15,Combined Weighted (quantile),7.2796934865900385,48.35164835164835,ETS,qwen,maryland,P3,642571064,1,[2]
15,Combined Weighted (mean),7.151979565772669,47.25274725274725,ETS,qwen,maryland,P3,642571064,1,[2]
30,In Distribution Only,5.61941251596424,40.10989010989011,ETS,qwen,maryland,P3,642571064,1,[2]
30,Combined Unweighted,7.2796934865900385,48.35164835164835,ETS,qwen,maryland,P3,642571064,1,[2]
30,Combined Weighted (quantile),7.2796934865900385,48.35164835164835,ETS,qwen,maryland,P3,642571064,1,[2]
30,Combined Weighted (mean),8.301404853128991,50.54945054945055,ETS,qwen,maryland,P3,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P4,642571064,1,[2]
5,Combined Unweighted,7.7790304396843295,42.32558139534884,ETS,qwen,maryland,P4,642571064,1,[2]
5,Combined Weighted (quantile),2.593010146561443,22.79069767441861,ETS,qwen,maryland,P4,642571064,1,[2]
5,Combined Weighted (mean),3.3821871476888385,29.767441860465116,ETS,qwen,maryland,P4,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P4,642571064,1,[2]
15,Combined Unweighted,7.7790304396843295,42.32558139534884,ETS,qwen,maryland,P4,642571064,1,[2]
15,Combined Weighted (quantile),5.5242390078917705,37.2093023255814,ETS,qwen,maryland,P4,642571064,1,[2]
15,Combined Weighted (mean),4.6223224351747465,33.95348837209302,ETS,qwen,maryland,P4,642571064,1,[2]
30,In Distribution Only,0.4509582863585118,9.767441860465116,ETS,qwen,maryland,P4,642571064,1,[2]
30,Combined Unweighted,7.666290868094701,42.32558139534884,ETS,qwen,maryland,P4,642571064,1,[2]
30,Combined Weighted (quantile),4.3968432919954905,33.48837209302326,ETS,qwen,maryland,P4,642571064,1,[2]
30,Combined Weighted (mean),2.367531003382187,22.32558139534884,ETS,qwen,maryland,P4,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,qwen,maryland,P5,642571064,1,[2]
