n_train,category,False positive rate,Power,dataset,model,method,prompt,seed,base,alternatives
15,Combined Unweighted,7.421875,51.8796992481203,ETS,phi,maryland,P1,642571064,1,[2]
15,Combined Weighted (quantile),2.05078125,35.338345864661655,ETS,phi,maryland,P1,642571064,1,[2]
15,Combined Weighted (mean),2.05078125,35.338345864661655,ETS,phi,maryland,P1,642571064,1,[2]
30,In Distribution Only,0.68359375,21.428571428571427,ETS,phi,maryland,P1,642571064,1,[2]
30,Combined Unweighted,7.03125,51.50375939849624,ETS,phi,maryland,P1,642571064,1,[2]
30,Combined Weighted (quantile),2.05078125,35.714285714285715,ETS,phi,maryland,P1,642571064,1,[2]
30,Combined Weighted (mean),2.05078125,35.714285714285715,ETS,phi,maryland,P1,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P2,642571064,1,[2]
5,Combined Unweighted,9.45945945945946,56.02836879432624,ETS,phi,maryland,P2,642571064,1,[2]
5,Combined Weighted (quantile),3.9501039501039505,40.0709219858156,ETS,phi,maryland,P2,642571064,1,[2]
5,Combined Weighted (mean),3.8461538461538463,39.71631205673759,ETS,phi,maryland,P2,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P2,642571064,1,[2]
15,Combined Unweighted,9.45945945945946,56.38297872340425,ETS,phi,maryland,P2,642571064,1,[2]
15,Combined Weighted (quantile),10.706860706860708,57.446808510638306,ETS,phi,maryland,P2,642571064,1,[2]
15,Combined Weighted (mean),12.162162162162163,61.347517730496456,ETS,phi,maryland,P2,642571064,1,[2]
30,In Distribution Only,6.964656964656965,47.16312056737589,ETS,phi,maryland,P2,642571064,1,[2]
30,Combined Unweighted,9.355509355509357,55.319148936170215,ETS,phi,maryland,P2,642571064,1,[2]
30,Combined Weighted (quantile),9.147609147609147,54.60992907801418,ETS,phi,maryland,P2,642571064,1,[2]
30,Combined Weighted (mean),8.731808731808732,53.90070921985816,ETS,phi,maryland,P2,642571064,1,[2]
5,In Distribution Only,0.0,0.0,ETS,phi,maryland,P3,642571064,1,[2]
5,Combined Unweighted,7.918263090676884,50.210970464135016,ETS,phi,maryland,P3,642571064,1,[2]
5,Combined Weighted (quantile),3.4482758620689653,34.177215189873415,ETS,phi,maryland,P3,642571064,1,[2]
5,Combined Weighted (mean),7.918263090676884,49.789029535864984,ETS,phi,maryland,P3,642571064,1,[2]
15,In Distribution Only,0.0,0.0,ETS,phi,maryland,P3,642571064,1,[2]
15,Combined Unweighted,8.045977011494253,50.210970464135016,ETS,phi,maryland,P3,642571064,1,[2]
15,Combined Weighted (quantile),7.535121328224776,48.9451476793249,ETS,phi,maryland,P3,642571064,1,[2]
15,Combined Weighted (mean),7.918263090676884,49.789029535864984,ETS,phi,maryland,P3,642571064,1,[2]
