n_train,False positive rate,Power,Outliers,total_samples,dataset,model,method,seed,base,alternatives
30,1.6216216216216217,8.16326530612245,49,185,LOCNESS,qwen,openai,3609844797,3,[5]
50,4.324324324324325,22.448979591836736,49,185,LOCNESS,qwen,openai,3609844797,3,[5]
200,5.405405405405405,24.489795918367346,49,185,LOCNESS,qwen,openai,3609844797,3,[5]
30,4.864864864864865,36.734693877551024,49,185,LOCNESS,qwen,openai,1067841243,3,[5]
50,5.405405405405405,44.89795918367347,49,185,LOCNESS,qwen,openai,1067841243,3,[5]
200,4.864864864864865,36.734693877551024,49,185,LOCNESS,qwen,openai,1067841243,3,[5]
30,9.72972972972973,77.41935483870968,31,185,LOCNESS,qwen,openai,959183449,3,[6]
50,10.27027027027027,77.41935483870968,31,185,LOCNESS,qwen,openai,959183449,3,[6]
200,2.1621621621621623,61.29032258064516,31,185,LOCNESS,qwen,openai,959183449,3,[6]
30,1.0810810810810811,16.3265306122449,49,185,LOCNESS,qwen,openai,1457248422,3,[6]
50,2.7027027027027026,44.89795918367347,49,185,LOCNESS,qwen,openai,1457248422,3,[6]
200,5.405405405405405,57.14285714285714,49,185,LOCNESS,qwen,openai,1457248422,3,[6]
30,0.0,6.666666666666667,45,185,LOCNESS,qwen,openai,642571064,3,[6]
50,0.5405405405405406,40.0,45,185,LOCNESS,qwen,openai,642571064,3,[6]
200,3.783783783783784,46.666666666666664,45,185,LOCNESS,qwen,openai,642571064,3,[6]
30,1.6216216216216217,25.0,44,185,LOCNESS,qwen,openai,3609844797,3,[6]
50,4.324324324324325,45.45454545454545,44,185,LOCNESS,qwen,openai,3609844797,3,[6]
200,5.405405405405405,52.27272727272727,44,185,LOCNESS,qwen,openai,3609844797,3,[6]
30,4.864864864864865,57.14285714285714,35,185,LOCNESS,qwen,openai,1067841243,3,[6]
50,5.405405405405405,60.0,35,185,LOCNESS,qwen,openai,1067841243,3,[6]
200,4.864864864864865,57.14285714285714,35,185,LOCNESS,qwen,openai,1067841243,3,[6]
30,9.72972972972973,92.85714285714286,168,185,LOCNESS,qwen,openai,959183449,3,[7]
50,10.27027027027027,92.85714285714286,168,185,LOCNESS,qwen,openai,959183449,3,[7]
200,2.1621621621621623,77.38095238095238,168,185,LOCNESS,qwen,openai,959183449,3,[7]
30,1.0810810810810811,52.87356321839081,174,185,LOCNESS,qwen,openai,1457248422,3,[7]
50,2.7027027027027026,75.86206896551724,174,185,LOCNESS,qwen,openai,1457248422,3,[7]
200,5.405405405405405,83.33333333333334,174,185,LOCNESS,qwen,openai,1457248422,3,[7]
30,0.0,47.368421052631575,171,185,LOCNESS,qwen,openai,642571064,3,[7]
50,0.5405405405405406,74.85380116959064,171,185,LOCNESS,qwen,openai,642571064,3,[7]
200,3.783783783783784,84.7953216374269,171,185,LOCNESS,qwen,openai,642571064,3,[7]
30,1.6216216216216217,57.865168539325836,178,185,LOCNESS,qwen,openai,3609844797,3,[7]
50,4.324324324324325,80.89887640449437,178,185,LOCNESS,qwen,openai,3609844797,3,[7]
200,5.405405405405405,86.51685393258427,178,185,LOCNESS,qwen,openai,3609844797,3,[7]
30,4.864864864864865,89.53488372093024,172,185,LOCNESS,qwen,openai,1067841243,3,[7]
50,5.405405405405405,91.86046511627907,172,185,LOCNESS,qwen,openai,1067841243,3,[7]
200,4.864864864864865,89.53488372093024,172,185,LOCNESS,qwen,openai,1067841243,3,[7]
30,4.324324324324325,12.5,24,185,LOCNESS,qwen,openai,959183449,4,[5]
50,9.18918918918919,20.833333333333336,24,185,LOCNESS,qwen,openai,959183449,4,[5]
200,7.027027027027027,16.666666666666664,24,185,LOCNESS,qwen,openai,959183449,4,[5]
30,1.6216216216216217,9.375,32,185,LOCNESS,qwen,openai,1457248422,4,[5]
50,4.864864864864865,28.125,32,185,LOCNESS,qwen,openai,1457248422,4,[5]
200,4.864864864864865,18.75,32,185,LOCNESS,qwen,openai,1457248422,4,[5]
30,1.6216216216216217,0.0,35,185,LOCNESS,qwen,openai,642571064,4,[5]
50,2.1621621621621623,0.0,35,185,LOCNESS,qwen,openai,642571064,4,[5]
200,4.324324324324325,5.714285714285714,35,185,LOCNESS,qwen,openai,642571064,4,[5]
30,1.6216216216216217,12.5,16,185,LOCNESS,qwen,openai,3609844797,4,[5]
50,2.1621621621621623,12.5,16,185,LOCNESS,qwen,openai,3609844797,4,[5]
200,4.324324324324325,12.5,16,185,LOCNESS,qwen,openai,3609844797,4,[5]
30,0.5405405405405406,0.0,18,185,LOCNESS,qwen,openai,1067841243,4,[5]
50,7.027027027027027,22.22222222222222,18,185,LOCNESS,qwen,openai,1067841243,4,[5]
200,6.486486486486487,22.22222222222222,18,185,LOCNESS,qwen,openai,1067841243,4,[5]
30,1.6216216216216217,18.51851851851852,27,185,LOCNESS,qwen,openai,1457248422,4,[6]
50,4.864864864864865,40.74074074074074,27,185,LOCNESS,qwen,openai,1457248422,4,[6]
200,4.864864864864865,37.03703703703704,27,185,LOCNESS,qwen,openai,1457248422,4,[6]
30,1.6216216216216217,8.0,25,185,LOCNESS,qwen,openai,642571064,4,[6]
50,2.1621621621621623,28.000000000000004,25,185,LOCNESS,qwen,openai,642571064,4,[6]
200,4.324324324324325,36.0,25,185,LOCNESS,qwen,openai,642571064,4,[6]
30,4.324324324324325,60.95890410958904,146,185,LOCNESS,qwen,openai,959183449,4,[7]
50,9.18918918918919,77.3972602739726,146,185,LOCNESS,qwen,openai,959183449,4,[7]
200,7.027027027027027,66.43835616438356,146,185,LOCNESS,qwen,openai,959183449,4,[7]
30,1.6216216216216217,43.03030303030303,165,185,LOCNESS,qwen,openai,1457248422,4,[7]
50,4.864864864864865,71.51515151515152,165,185,LOCNESS,qwen,openai,1457248422,4,[7]
200,4.864864864864865,64.24242424242425,165,185,LOCNESS,qwen,openai,1457248422,4,[7]
30,1.6216216216216217,44.936708860759495,158,185,LOCNESS,qwen,openai,642571064,4,[7]
50,2.1621621621621623,57.59493670886076,158,185,LOCNESS,qwen,openai,642571064,4,[7]
200,4.324324324324325,67.08860759493672,158,185,LOCNESS,qwen,openai,642571064,4,[7]
30,1.6216216216216217,48.529411764705884,136,185,LOCNESS,qwen,openai,3609844797,4,[7]
50,2.1621621621621623,57.35294117647059,136,185,LOCNESS,qwen,openai,3609844797,4,[7]
200,4.324324324324325,64.70588235294117,136,185,LOCNESS,qwen,openai,3609844797,4,[7]
30,0.5405405405405406,34.306569343065696,137,185,LOCNESS,qwen,openai,1067841243,4,[7]
50,7.027027027027027,76.64233576642336,137,185,LOCNESS,qwen,openai,1067841243,4,[7]
200,6.486486486486487,71.53284671532847,137,185,LOCNESS,qwen,openai,1067841243,4,[7]
30,14.054054054054054,78.18181818181819,110,185,LOCNESS,qwen,openai,959183449,5,[7]
50,9.72972972972973,70.0,110,185,LOCNESS,qwen,openai,959183449,5,[7]
200,5.405405405405405,60.0,110,185,LOCNESS,qwen,openai,959183449,5,[7]
30,5.405405405405405,65.17857142857143,112,185,LOCNESS,qwen,openai,1457248422,5,[7]
50,5.405405405405405,65.17857142857143,112,185,LOCNESS,qwen,openai,1457248422,5,[7]
200,7.027027027027027,66.96428571428571,112,185,LOCNESS,qwen,openai,1457248422,5,[7]
30,0.0,51.2396694214876,121,185,LOCNESS,qwen,openai,642571064,5,[7]
50,0.0,51.2396694214876,121,185,LOCNESS,qwen,openai,642571064,5,[7]
200,1.6216216216216217,55.371900826446286,121,185,LOCNESS,qwen,openai,642571064,5,[7]
30,1.0810810810810811,36.283185840707965,113,185,LOCNESS,qwen,openai,3609844797,5,[7]
50,2.7027027027027026,65.48672566371681,113,185,LOCNESS,qwen,openai,3609844797,5,[7]
200,2.1621621621621623,58.4070796460177,113,185,LOCNESS,qwen,openai,3609844797,5,[7]
30,8.64864864864865,71.55172413793103,116,185,LOCNESS,qwen,openai,1067841243,5,[7]
50,3.2432432432432434,56.03448275862068,116,185,LOCNESS,qwen,openai,1067841243,5,[7]
200,7.027027027027027,66.37931034482759,116,185,LOCNESS,qwen,openai,1067841243,5,[7]
30,3.783783783783784,9.090909090909092,22,185,LOCNESS,qwen,openai,959183449,6,[5]
50,3.783783783783784,9.090909090909092,22,185,LOCNESS,qwen,openai,959183449,6,[5]
200,3.783783783783784,9.090909090909092,22,185,LOCNESS,qwen,openai,959183449,6,[5]
30,2.7027027027027026,10.0,20,185,LOCNESS,qwen,openai,3609844797,6,[5]
50,3.2432432432432434,15.0,20,185,LOCNESS,qwen,openai,3609844797,6,[5]
200,2.7027027027027026,10.0,20,185,LOCNESS,qwen,openai,3609844797,6,[5]
30,3.783783783783784,44.89795918367347,147,185,LOCNESS,qwen,openai,959183449,6,[7]
50,3.783783783783784,44.89795918367347,147,185,LOCNESS,qwen,openai,959183449,6,[7]
200,3.783783783783784,44.89795918367347,147,185,LOCNESS,qwen,openai,959183449,6,[7]
30,1.0810810810810811,21.138211382113823,123,185,LOCNESS,qwen,openai,1457248422,6,[7]
50,1.0810810810810811,21.138211382113823,123,185,LOCNESS,qwen,openai,1457248422,6,[7]
200,7.027027027027027,55.28455284552846,123,185,LOCNESS,qwen,openai,1457248422,6,[7]
30,1.6216216216216217,44.14414414414414,111,185,LOCNESS,qwen,openai,642571064,6,[7]
50,1.6216216216216217,44.14414414414414,111,185,LOCNESS,qwen,openai,642571064,6,[7]
200,1.6216216216216217,40.54054054054054,111,185,LOCNESS,qwen,openai,642571064,6,[7]
30,2.7027027027027026,39.58333333333333,144,185,LOCNESS,qwen,openai,3609844797,6,[7]
50,3.2432432432432434,44.44444444444444,144,185,LOCNESS,qwen,openai,3609844797,6,[7]
200,2.7027027027027026,39.58333333333333,144,185,LOCNESS,qwen,openai,3609844797,6,[7]
30,2.1621621621621623,30.82706766917293,133,185,LOCNESS,qwen,openai,1067841243,6,[7]
50,2.1621621621621623,39.849624060150376,133,185,LOCNESS,qwen,openai,1067841243,6,[7]
200,4.324324324324325,53.383458646616546,133,185,LOCNESS,qwen,openai,1067841243,6,[7]
